,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
right inferior lateral ventricle,-9.62133835169222e-06,-0.03425840515496591,5.985198606324651e-06,2.280520492838299e-07,7.913832006969671e-06,-5.634124473599583e-08,1.3657811920731901e-08,-2.3355189330144274e-06,0.0,0.0,1.7937176048754666e-06,0.009738259571180234,3.459765601462334e-09,4.6747643196375994e-07,-1.2127615224621175e-07,6.530363345800347e-05,4.110279284826661e-06,0.0,0.0,0.0,0.0,2.439778750677206e-06,0.0,-1.1637964574971573e-07,0.0,0.0,5.0193459184898394e-06,1.4343895629309314e-07,2.338778171764581e-07,0.0,5.848244483141043e-07
right cerebellum white matter,-0.06909242390389357,-0.12670773515293554,1.1298709307943706e-06,0.060658354602436966,0.9019754304464128,0.08842170336588549,2.5042465324633862e-06,0.0,0.0,1.4852590732970332e-05,0.0,0.09783225226380386,5.9500095228482284e-08,1.1917913596011014e-06,-4.294506423112563e-07,0.0,6.421298083644152e-07,0.0,-0.017780133502571013,0.0,0.0,0.0,0.047213940680916194,0.0,0.0,-0.005968705635532975,0.00017029090531186331,0.0,-4.009405194958199e-06,0.013027314005196567,6.302086353760591e-08
right cerebellum cortex,-0.16867689604077007,0.03047453684144356,-2.2499372936384645e-06,0.03955541218427154,5.776468171630867e-09,2.0984905713699938e-07,0.00028095892569763285,0.0,1.2225720790372478e-06,2.4054499982864722e-06,0.0,0.01840396419767078,4.4553014453869225e-06,1.2990739039565445e-05,4.52222249323257e-07,0.0,9.848443144288625e-05,-0.00046415579248525255,0.0,-9.934508306690078e-07,-0.013081069344776517,1.0854918558208057e-06,0.0,1.1886526037959668e-05,0.0,0.0,4.828706477093742e-06,4.5718968593915824e-06,5.032589001026574e-06,6.007299620569702e-05,2.7554033799920814e-06
right thalamus,0.0,0.06736783582655329,-3.491248760087231e-06,0.0935312289550841,0.0,0.0,1.0854407191608069e-07,0.005945409572152002,0.0,9.806504506879916e-05,0.0,-0.10760973718483428,-0.025647244160250795,7.881444871137878e-06,0.016451987762248627,0.23099805014668745,0.42117163260915963,0.017554693521670085,0.0057875933736315464,-7.873820106325573e-07,-0.14745762860841372,-0.10886042140299694,0.0,0.0,0.0,0.09534589045348857,0.0,7.978306571426314e-07,-0.0783926128233999,-0.11425614667521368,0.0017573395956047451
right caudate,0.0,0.04444327493215481,-6.802415958044349e-07,-0.018355154092479856,0.0,-0.011900540282246769,3.6760372678017398e-06,1.1258927304065498e-07,5.362068950467073e-07,2.361893402096929e-07,-0.07239728732919261,-0.08126583238589495,-2.3636883329082785e-06,3.5410377794751634e-05,-1.4811956386686632e-05,0.04965405118253121,3.781642107741281e-05,0.0,0.0,8.499978664490761e-07,0.0012824850623654096,0.0,0.0,9.125509247063005e-05,0.0,2.3316215796151976e-05,4.7207692844546194e-07,2.941891159150549e-05,0.0,0.17311942051900192,8.292852564981818e-06
right putamen,-4.79812530594556e-06,1.1454566736998831e-05,-0.0003522606191081655,-0.018975253043361374,0.0,0.0,2.550624561792019e-06,0.005923770689207003,0.9328396686468458,0.00781126515262077,0.0,0.0,-4.12227921054191e-07,0.0005401208393633222,8.561988388071017e-06,0.047119135873191866,2.622079764618062e-07,0.0,0.0,-2.5142409630543198e-05,0.0,-2.29970080319089e-06,0.0,2.2718040251073395e-07,0.00016783177409892744,0.0,0.2569702395418904,3.3055390939609354e-05,8.986628710141737e-05,0.0,0.0
right pallidum,0.0,4.312953714233646e-05,0.0039030879191051483,-0.03765416951671272,0.0,0.0,7.337696102950418e-05,0.276295081581663,7.80815781812603e-09,0.7501341463424113,-0.010299120146026648,0.07652900887367552,-2.0470094023047605e-07,0.013835637434643132,-1.5152813477075223e-05,0.06105512313620073,1.7914090810498906e-06,0.0,0.0,0.0,0.0,-4.791405656213689e-05,0.0,1.8551632610599624e-06,0.022357140099122125,5.046157887800721e-07,0.0,0.000959924255559494,0.0004917257086609117,0.0,1.3793345329026784e-07
right hippocampus,-0.17443120792416783,0.016306621048700957,1.856232992061913e-08,0.06268017632069413,0.0,0.02381956742026722,0.18080035972891148,0.0,0.0,1.0550960547807998e-06,-0.05184887014173306,0.0,-0.0005538154689213278,1.1409622638751161e-07,-0.027820758007060253,0.0,0.004215535998493798,0.0,0.0,-3.1179675209589334e-09,0.0,2.561462964339541e-07,0.0,0.031339793192258235,0.0,0.0002412822712456306,4.8207303764615e-06,0.0,0.4895316826258379,0.015103243192032854,0.0
right amygdala,-0.005020323545882129,0.0,1.7564061280070358e-07,0.0,0.0,0.021600744660075038,5.058702236185877e-07,0.0,0.0,0.0,-0.03773533189042133,-0.018742345872197683,-0.00571807564902931,5.858632541281166e-07,0.6607111032833566,1.740169671852025e-06,0.020035186421576996,0.0,0.0,-1.3654447113060864e-07,0.11806992233148661,-0.01028491488528424,0.0,0.0,0.0,0.001765551423840853,2.2991373641961945e-05,8.627682207737965e-08,0.0,1.607177075629539e-05,0.0
right accumbens area,-6.964924344841779e-06,3.6865655857991277e-06,-2.5795510281489864e-06,-0.009740830412110242,-2.651836133195416e-06,0.0,2.105412910771802e-06,1.079124828742179e-06,7.581140638797492e-08,0.0,-1.6874825616348127e-05,-0.007382994388078019,-2.5993536282951566e-06,2.5809541236472022e-05,0.0,0.6709904310880586,3.1026301782596517e-06,-1.338225301019776e-06,0.0,-4.4347503862269685e-07,0.0,0.0,0.0,-4.2203223781276614e-08,5.510677123608641e-08,6.635923787967417e-07,5.865601720284354e-06,6.881337594931655e-06,0.005491767227277729,0.0,2.915859347255e-06
right ventral DC,0.00854377260766845,-0.1518475851576321,-7.606288676956032e-05,-0.08479459387260835,0.0,0.0,1.9903908051324e-06,0.02176680404857702,0.006160755534234328,0.006358850533833683,0.2981468867463115,0.12261339941493613,0.3850514229986116,0.0003722541219750839,7.62812175536486e-07,0.0,7.96806568626809e-08,0.004126505850462306,0.0,-7.0786688934115295e-06,0.004092803513713182,-0.06869644360967639,0.0,9.41400215385261e-08,0.0,0.07821656678695328,0.17780938049506767,2.290960984901649e-05,6.744345618212034e-06,0.03237969892770105,0.0
