,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left accumbens area,-2.288919244918773e-07,-0.11625148101116856,-1.6667301418710654e-06,0.0,-2.552026096865044e-07,0.0007772780061203134,1.87834661623666e-06,0.09379893669848291,0.0,0.049534933310444375,-1.0880956672937996e-07,0.0,-1.1365796988681928e-06,-0.000601253212954409,0.0,0.0,7.716627094141823e-05,1.9936122854389683e-06,0.30153916534723163,-1.4712946738599593e-07,0.041168753302599184,-4.4833495256519587e-07,1.50948196725402e-05,2.917703686841638e-07,0.09565022749103436,0.0,0.1625682451007044,0.0,0.04287539392651207,4.3464361284678903e-08,-1.2305698772010526e-06
left ventral DC,0.0,9.824840733921597e-05,-0.00022234515901644033,0.0,0.0,0.0034416472593038613,0.021085426851041325,-2.2877142805002672e-06,1.9937349281348736e-06,2.0803864179471703e-05,0.01911240510424622,-0.010629237844063392,0.1541744792621208,5.229375528981354e-08,5.224411821696889e-07,3.0220683672178368e-05,0.0,0.0,0.0,0.0,0.0,-0.0006147726863363553,0.0,0.0008354731676036091,0.0,0.0,0.00013696987578707,0.07390700860682806,0.014039799293543218,0.0013713155492852689,0.8038823149025203
right cerebral white matter,4.878227053011261e-08,-0.7136641389128197,-0.5258087789742462,0.023551288249248983,-4.3972732776421623e-07,-0.18702924727197284,6.827026394613582e-07,0.0,0.007431463521347489,-0.08583314336462142,-0.10530703960289876,-0.10104685423018446,-2.8134955992110423e-07,-0.0005251421365830846,-0.004225372266795408,0.008316771381877554,9.149836362666769e-05,0.0,0.7003791716798381,0.0,-0.06283882644895318,0.0,0.01550975887305744,-4.009810541207036e-09,0.05404446896627143,0.03201281813034758,0.04566446244529674,0.001990030880944662,-0.07861535099934858,0.05683048874842952,-3.8153174656312e-06
right cerebral cortex,-1.382001910736485e-08,1.0509679617842551,-1.4360848398005104e-05,0.0,-3.826083086745377e-07,0.007283451006470452,3.114057110119571e-07,0.00413315746088584,-0.2716431785765698,-1.987837849701662e-07,-1.0793999808599467e-06,0.0,-1.5029688202343383e-06,-0.0012662840547287269,-0.017286567478474714,1.0503219630849793e-07,7.868057343410937e-07,3.3207821420736506e-08,0.0,-2.772090606072072e-07,0.0,-2.2768345471711917e-08,0.002055952266454444,4.03256265804774e-08,-0.0029653841053474544,0.5359727893023548,-5.101723137328458e-07,0.0,0.0,2.2337369533744234e-07,-6.587468262228622e-06
right lateral ventricle,-8.357700127631709e-08,0.0006705399139252786,5.5363340562208987e-08,0.0,1.7561445473473019e-06,-1.4986671688720135e-05,-1.3627290317273894e-06,0.0,-0.025429470414030233,0.0,0.38127050893847136,0.0,-1.825196304649773e-06,0.0,-0.08575177884367673,-0.06881607959246545,-0.00058602059100139,-7.821192930822448e-08,-0.00810205242976662,0.0,0.15834768029226165,1.0319796817000822e-06,-5.127329370464374e-07,-2.0032554330283527e-07,0.23955429284752006,0.0,0.06482440267844901,-0.2830416681439824,-0.14659247104930792,-0.3507659205244478,5.2009658906666806e-06
right inferior lateral ventricle,-6.241962501754879e-07,0.0,2.211415289001981e-07,4.063244166652334e-08,-2.1762599097380787e-07,-1.482514082857077e-06,-9.583613181588609e-06,-9.011149036352507e-08,-9.757369698975455e-08,-8.00980702478647e-09,2.137477209395964e-07,-0.00803349319275328,-2.9828802910428797e-07,8.106225141514379e-07,0.0,-4.166973606332139e-08,-1.5656750523785545e-06,-4.6600768746801286e-07,-1.8371604767191167e-06,1.0448859107005528e-07,0.0,0.0,-2.2108790103991717e-06,-6.090522046958843e-07,0.0,4.728510449421333e-07,2.06945481288931e-06,-0.0398263926166166,-0.054258242448043684,2.4209669483412426e-06,2.6218221603659206e-07
right cerebellum white matter,-0.043973937176019634,-0.024023261412267096,0.056491594406979574,-0.05587164742404755,1.450540756018789e-08,0.0,-4.3571276705276767e-07,-0.0006592509906775787,0.003047299418074372,0.018115979657749925,-0.0719748016181107,0.25299451330998446,8.08361884917224e-08,3.56791340232934e-05,0.0005318327805030031,-0.007154344444794846,2.9863091510577574e-06,-0.05069923594295788,-0.16908100494694073,0.0,0.0,0.0,0.28914190447427796,0.0,0.12892199110644942,0.0,0.10642732773340563,-0.06602502943382317,0.04156745256343374,-0.040327557081233846,2.0563722014599376e-07
right cerebellum cortex,-1.5262719798096475e-06,1.2088065187047256e-06,-0.06989900437540394,0.01940439744007116,4.732647339656773e-08,2.8711166988881033e-08,-3.129817308419192e-07,-0.021132342145666252,0.042613359957969034,0.0,0.0012869513041559833,0.01672048367454445,4.734137911730147e-07,0.00026635582056806404,0.005744967492092391,0.0,1.6901729374978715e-05,-7.852834600372852e-08,1.6940158173308806e-06,-0.00010595387091211,-0.0021182648749649897,1.0355272642453629e-09,0.0,0.0,0.0,-0.034460175828728234,0.0,0.048727933422376066,-0.04382922430235574,0.0,1.5946551996903327e-06
right thalamus,0.44743147995882226,0.22337251834913116,-0.23511555006917625,0.0,-0.11438485283715041,0.1296851258852647,4.4422866660595586e-08,0.0,0.010554498855222718,0.06759917797661393,-0.33579115283930155,0.013032001789403672,1.0433100431559123e-07,3.246782780417335e-05,0.0006138260659443262,0.0,5.70793341781146e-06,0.08074157993425408,0.0,-0.036847945665568954,0.0,0.0,-0.03973129018926249,0.0,0.10172285327818967,0.0,0.42894326018959067,0.0688471108764727,0.0,0.025339615337488353,3.1704391746172635e-07
right caudate,-3.068559467561728e-07,0.0,-2.0376106189826136e-08,-0.03379192329024176,0.0,-3.795449217396221e-07,1.2780388273477585e-06,0.8676924758453228,0.041231560903778164,0.0,-4.0510159868086543e-07,0.0,0.0,-0.00015852421666077843,0.017968605347549082,5.760673553492468e-08,0.0002912981726336006,5.405452290376466e-07,-1.9950353490471007e-06,0.0,0.0,2.50894533758458e-07,0.0,2.6852730149109937e-07,0.0,0.24480862301273257,1.1050445508050628e-07,0.0,0.0,1.0274703951876056e-07,8.527552752185108e-06
right putamen,-4.5583433660957406e-08,-5.922526979726991e-09,-1.1962319094288806e-06,0.13018907463706525,-7.223851658716415e-07,-5.523697188593047e-07,1.9556072859391584e-06,-9.357147655081366e-09,4.6010811217046724e-08,1.5315332704270453e-08,-1.3683261420311114e-06,-0.14867169844452946,0.0,0.0,-0.0254260469979493,2.2109386067902007e-07,0.0008001110008104559,8.18035475073597e-08,6.500745312778254e-09,-4.4082332418768015e-07,0.04754704764085122,3.8384721988379224e-08,2.9032936498681634e-08,1.9957366177112289e-07,1.1087656986400547e-07,0.0,1.7024221448237415e-07,0.031814810591760306,-0.025912784033693254,5.965535841780164e-07,0.0
right pallidum,7.254859181740398e-08,0.0,-8.299336599755268e-07,-0.025579778080189488,-1.0269041422410969e-07,-0.00014955967543549238,2.684573459352818e-07,-0.038390746104919854,0.13336776350064772,0.6706894379460784,-1.0547464674711876e-06,0.21104673326761655,7.729026595387061e-07,0.0002505102316932155,0.007866481748999184,1.5339350944499868e-07,0.00011630507643124383,8.231741659573009e-07,0.0,-7.363439012346447e-08,0.0,7.839062471227053e-09,0.0,2.4858435835902332e-08,0.25443650000862783,0.276497271711383,0.0,-0.017853978921723707,0.034781306537468894,4.2634314346452717e-07,4.05847221002321e-06
right hippocampus,-3.627885936122194e-07,9.013747851380811e-07,-3.433089770094443e-08,-1.2056550967485898e-06,5.827624321813935e-08,2.323015031101209e-06,1.7022085031723606e-06,-7.725736120919784e-07,1.3412040928627092e-06,6.022249536404846e-06,5.827836405922435e-07,0.052235271460310526,2.1173989646795904e-05,5.603240900480972e-08,3.159236449805635e-07,-1.450633935623063e-05,1.8663271532057767e-06,-2.7991247232121754e-07,2.4992650662792934e-07,-1.2927543037223965e-08,-8.433147094321916e-07,-5.906910933923901e-07,2.4735801008802128e-08,1.1872191687995357e-07,-1.369234618921543e-06,4.5452842077082007e-07,1.8030346670823524e-06,0.0,1.5581116128260388e-07,0.0,1.9737589660217205e-06
right amygdala,-2.644845332430212e-07,5.408907671805133e-06,-1.0096357369653942e-06,-8.593556873017746e-08,1.8085618395971708e-06,6.224543112934667e-07,3.0212563835599762e-05,-2.926345096291012e-08,2.4081385211470287e-07,2.2541198779784227e-06,9.29295814330594e-07,0.04211913287014005,2.2292337553657886e-05,3.273632325613746e-06,1.051231759998511e-07,5.547422534426515e-07,1.2363812344135986e-06,-3.3184522449099486e-07,-6.897627639933555e-08,-5.095476896073415e-08,-3.8833824466879623e-07,-3.958421340482748e-08,-2.2765851481063528e-07,9.575619712632957e-07,3.655735125968046e-07,-1.6964264780525814e-06,3.1741518218170294e-06,0.16977142976174792,0.0,7.426118407675632e-08,1.0086653249905519e-07
right accumbens area,-8.716752929977286e-08,-0.00029669263964886343,-3.7421679759136717e-07,0.07301204547357877,-2.236201791547818e-07,0.00011067157971457956,2.0845950994007927e-07,0.0,-0.007421023441876036,0.0,-7.599297724540832e-08,0.0,-8.803735075162616e-07,-9.645407407712556e-05,0.0013116394211651389,0.751290177712046,2.956075331031506e-05,7.50062492705852e-07,0.14019464129502124,-7.290569208798224e-08,0.0,-1.551789417856696e-07,0.0,1.066650697654232e-07,0.39584909255733747,0.13255329001449095,0.12057170026498278,0.0,-0.08734121934139782,0.0,0.0
right ventral DC,-0.00115014672261879,0.000509018199946231,-0.00020019869838993658,0.07291962631648029,0.052147517431648506,0.0016208244241945361,0.15519163063916736,-8.067055184277116e-05,7.362102580240393e-06,0.00013403507008920027,0.14925576410354413,0.1033888074835923,0.5730641759083951,1.6931467845209545e-07,8.972706313151028e-07,0.0,5.523509382576407e-08,-0.001639484174312521,-4.5961611308345614e-05,-1.2589159236664206e-05,0.11809237983162597,-0.00021926763386006506,-5.4338300338998924e-05,0.011141842119355311,0.0,0.0,0.0012344513198513337,0.030689743669693483,0.22983374075361884,0.013187563289735136,0.0
