,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
right cerebral cortex,-0.68411025234065,0.0,-0.47592912679460697,0.0,0.0,-0.22524245320603337,-0.2056190244517655,0.0,-0.3407041344797436,0.0,-0.1815113807196743,0.0,-0.06925461517010906,-0.6848298432537241,0.0,0.49968085649178157,0.0,0.0,0.0,-0.04879519476264751,0.0,-0.12199126333946064,0.0,-0.6642825861924302,0.0,0.7593984964904168,0.047912497757855665,0.0,-0.06427230057362407,0.2898563747129215,0.0
right lateral ventricle,0.0,0.0,0.0,0.0,0.0,-0.13493508400674775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48925311278285033,-0.22490218137907755,-0.30763715039275513,0.0
right inferior lateral ventricle,0.0,-0.19024289386271281,0.37668921746534667,0.6510699795625492,0.0,0.0,0.0,0.0,0.0,0.0,0.18979211460329626,0.0,0.0,0.20239210079296904,0.0,0.0,0.08662175245364721,-0.35873728224688184,0.0,0.04649334484927393,0.0,0.0,0.0,-0.1556669581946179,0.0,0.1071991916743394,0.0,0.0,0.0,0.0,0.09195949128799978
right cerebellum white matter,0.0,0.0,0.0,0.0,0.6951426242080472,0.3621368628619507,0.0,0.0,0.0,0.0,0.0,0.0,0.3802058591522112,0.0,0.0,-0.08989318780318385,0.19732343766981206,0.0,0.0,0.0,0.0,0.0,0.2530354411130505,0.0,0.0,0.0,0.0,0.0,0.11781502791996182,0.0,0.0516877862877209
right cerebellum cortex,0.0,0.0,0.0,0.0,-0.2734825572505446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right thalamus,-0.06140567803805838,0.0,-0.4425536336994568,0.0,0.0,0.07295214780539598,0.771392570182799,0.0,0.1285293655935178,0.0,-0.30984258454925406,0.0,0.13578399069001806,0.0,0.0,0.0,0.1817339311210686,0.0,0.0,-0.1808723162336208,0.0,0.0,-0.10488752241370145,0.0,0.0,0.0,0.29465361622531183,0.1322855662439129,0.0,0.0,0.1903496599569092
right caudate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8772019390855251,0.0,0.16941347953341396,0.0,0.0,0.0,0.29528784434627386,0.0,0.0,0.0,0.116899649604213,0.0,0.0,0.0,0.11291356372328015,0.0,0.27601114848100217,0.0,0.3435005251155128,0.14330997648310947,0.0,0.0,0.2704536388632557,0.0
right putamen,0.0,0.0,0.0,0.0,0.0,-0.131401285878286,0.0,0.0,0.0,0.0,0.0,-0.18393610148560532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17736804637110842,0.0
right pallidum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229286105114964,0.07328652704519295,0.0,0.0,0.0,0.10490703327151298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539689361334477,0.0,0.0,0.05526582842891732,0.0,0.0
right hippocampus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09838809590350718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right amygdala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4305628290401184,0.05928384742282549,0.10366206838735949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19257098527822467,0.0,0.0,0.06746343314271445
right accumbens area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6046718151778854,0.1290279069504258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right ventral DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
