,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
right lateral ventricle,-0.09781142370374998,0.0,0.765164506844324,0.0,0.0,0.0,-0.06487396279646476,0.0,0.0,0.0,0.0,0.0,0.0,0.3968248797847551,0.0,0.0,0.0,0.055461164105082845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right inferior lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.03949560633967567,0.0,0.0,0.0,0.0,0.0,0.0,0.04194834512214263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right cerebellum white matter,0.0,-0.16388216245964496,0.0,0.08833787490406672,0.9534648859724577,-0.26959458082328575,0.0,0.0,0.0,0.0,0.0,0.18130655673623056,0.2544259772620491,0.040530288040986254,0.0,0.0,0.0,0.0,0.0,0.158310372282346,0.0,0.0,0.5337884206623329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right cerebellum cortex,-0.3168926888071539,0.10737271337235044,0.0,0.0,0.0,0.9346771431826075,0.0,0.0,0.0,0.0,-0.11278982678763436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08862810180360806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right thalamus,0.13089277143026637,0.0,0.0,0.11872390881753553,0.0,0.0,0.7923774689494933,0.03098590273314583,0.0,0.0,-0.16569890703914625,0.0,0.0,0.0,0.0,0.0,0.21579572790470683,0.03229028717435993,0.0,-0.09017756815257737,0.0,0.0,0.0,0.0,0.10068632465826405,0.0,0.0,0.0,0.0,0.0,0.39427032959025393
right caudate,0.0,0.04296663568441416,0.0,0.0,0.0,0.0,0.0,0.938777502239738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0700330183963832,0.0,0.0,0.0,0.48640247504437606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1620778369327927,0.0
right putamen,-0.11858877673951607,0.0,-0.2451814453967906,0.0,0.0,0.0,-0.3531806821827363,0.0,0.9512553460754256,0.0,0.0,0.0,0.0,0.0,0.12094006184413884,0.15188226336901126,0.040488392990744235,0.0924599028695544,0.0,0.0,0.0,-0.175681746090269,0.0,0.19704772800614917,0.0,0.0,0.0,0.10647054649778787,0.0,0.0,0.0
right pallidum,0.15789619249132442,0.0,0.0,0.0,0.0,0.0,0.2550062155891952,0.0,0.0,0.8463334007942678,-0.06498772251426432,0.0,0.0,0.0,0.0,0.0,0.10753577569757283,0.0,0.0,0.0,0.0,0.29753368159397037,0.0,0.1105963072035911,0.36707893688694676,0.4785260779028866,0.0,0.0,0.0,0.0,0.2983168649203024
right hippocampus,-0.20586786227627601,0.11607127446913108,0.0,0.06466001142289446,0.0,0.0,0.0,0.0,0.0,0.0,-0.11942698236985655,0.0,0.0,0.7483795914572449,0.38918342763446034,0.0,0.0,0.0,0.0,-0.20388695630890916,0.1660777747401005,0.0,0.10474853418720842,0.26097241801627,0.0,0.0,0.0,0.0,0.2897716025629252,0.0,0.0
right amygdala,0.0,0.0,0.06322490380047584,0.0,0.0,0.0,0.02663825521539072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07371501155871435,0.0
right accumbens area,0.0,0.11841537109767,0.0,0.0,0.0,0.0,0.127334580097787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6590388433756442,0.0,0.0,0.0,-0.10825257155556603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right ventral DC,0.21500469897204058,-0.28569334129218854,-0.044673473650296926,-0.15235517725432351,0.0,0.0,0.09119732064119523,0.0,0.0,0.0,0.1927753674144722,0.0,0.5563515118381949,0.0,0.0,0.0,0.729353811822107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
